masse_A;;;;;;
t;x;y;v_{x};v_{y};a_{x};a_{y}
21.41;0.32;-0.13;-0.02;0.00;1.43;-0.84
21.45;0.32;-0.13;-0.01;-0.04;0.22;-0.35
21.48;0.32;-0.13;-0.02;0.00;-0.08;0.42
21.51;0.32;-0.13;0.00;-0.02;0.43;-0.56
21.55;0.32;-0.14;0.00;-0.04;0.15;-0.35
21.58;0.32;-0.14;0.01;-0.04;-0.21;-0.36
21.61;0.32;-0.14;-0.01;-0.06;0.06;0.64
21.64;0.32;-0.14;0.00;-0.02;0.13;0.85
21.68;0.32;-0.14;0.02;0.02;0.58;-0.92
21.71;0.32;-0.14;0.03;-0.08;-0.06;-1.14
21.74;0.32;-0.14;0.03;-0.08;-0.22;0.71
21.78;0.32;-0.14;0.00;0.00;-0.44;1.41
21.81;0.32;-0.14;0.00;0.00;0.00;0.00
21.84;0.32;-0.14;0.00;0.00;0.00;0.00
21.88;0.32;-0.14;0.00;0.00;0.00;0.00
21.91;0.32;-0.14;0.00;0.00;0.00;0.00
21.94;0.32;-0.14;0.00;0.00;0.00;0.00
21.97;0.32;-0.14;0.00;0.00;0.00;-0.14
22.01;0.32;-0.14;0.00;-0.01;0.00;-0.07
22.04;0.32;-0.15;0.00;-0.01;0.00;0.07
22.07;0.32;-0.15;0.00;0.00;0.00;0.14
22.11;0.32;-0.15;0.00;0.00;0.00;0.00
22.14;0.32;-0.15;0.00;0.00;0.00;0.00
22.17;0.32;-0.15;0.00;0.00;0.00;0.00
22.21;0.32;-0.15;0.00;0.00;0.43;0.00
22.24;0.32;-0.15;0.02;0.00;0.50;0.00
22.27;0.33;-0.15;0.04;0.00;-0.07;0.00
22.30;0.33;-0.15;0.02;0.00;0.14;0.00
22.34;0.33;-0.15;0.04;0.00;0.20;1.59
22.37;0.33;-0.15;0.05;0.09;-0.30;0.79
22.40;0.33;-0.14;0.01;0.09;-0.79;-0.66
22.44;0.33;-0.14;0.00;0.01;0.72;-0.91
22.47;0.33;-0.14;0.05;0.04;0.84;0.79
22.50;0.33;-0.14;0.07;0.07;0.63;1.28
22.53;0.34;-0.13;0.07;0.12;-0.50;0.56
22.57;0.34;-0.13;0.06;0.12;-0.35;-0.07
22.60;0.34;-0.13;0.03;0.09;-0.70;-0.50
22.63;0.34;-0.12;0.02;0.10;0.35;0.57
